date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:22	7131/7131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2005:57:26%20GMT	https://program-pembelajaran-gmb-76c1rz4.gamma.site/robots.txt		(from )
13:02:22	316713/316713	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202024%2006:02:19%20GMT	https://program-pembelajaran-gmb-76c1rz4.gamma.site/	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/index.html	(from )
13:02:23	38021/38021	---MCZ	200	added ('OK')	text/css	etag:W/%22d06edd5eaaab8de8fb141eaa757b572d%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:23	2355/2355	---MCZ	200	added ('OK')	text/css	etag:W/%22a487778ff2c464586ab5f91fe2ec6af3%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/c5909dc245a8df8d.css	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/c5909dc245a8df8d.css	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	6535/6535	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f144731fc6d58fef94f7a550b6e5dc8%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/webpack-f24c800619723f15.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/webpack-f24c800619723f15.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	140090/140090	---MCZ	200	added ('OK')	application/javascript	etag:W/%226049538019bbc32731777e0b52eb541d%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/framework-2f78ac0a0f267d65.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/framework-2f78ac0a0f267d65.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	130402/130402	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b8a6465971ad41e4814aba3cb19a6fb%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/main-9017a88c46c7a2eb.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/main-9017a88c46c7a2eb.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	335/335	---MCZ	200	added ('OK')	application/javascript	etag:W/%229dca6a814214cc8eb565e83f302e0a11%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/pages/_app-c4482e5d57b7a6a9.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/pages/_app-c4482e5d57b7a6a9.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:24	3497/3497	---MCZ	200	added ('OK')	application/javascript	etag:W/%222543c31dd122dd2df5c5380fa45cdf0a%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/5adc83ef-8e07286a1a4aed9b.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/5adc83ef-8e07286a1a4aed9b.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
